threshold,safe_rec,dang_rec,accuracy,f1_dang
0.2,0.7142857142857143,0.9183673469387755,0.8095238095238095,0.8181818132413224
0.25,0.7142857142857143,0.9183673469387755,0.8095238095238095,0.8181818132413224
0.3,0.7678571428571429,0.9183673469387755,0.8380952380952381,0.8411214903624772
0.35,0.7678571428571429,0.8775510204081632,0.819047619047619,0.8190476140698413
0.39999999999999997,0.7857142857142857,0.8571428571428571,0.819047619047619,0.8155339755943067
0.44999999999999996,0.7857142857142857,0.8571428571428571,0.819047619047619,0.8155339755943067
0.49999999999999994,0.8392857142857143,0.8571428571428571,0.8476190476190476,0.8399999950020001
0.5499999999999999,0.875,0.7959183673469388,0.8380952380952381,0.8210526265839335
0.5999999999999999,0.8928571428571429,0.7755102040816326,0.8380952380952381,0.8172042960897213
0.6499999999999999,0.9107142857142857,0.7346938775510204,0.8285714285714286,0.7999999950395063
0.7,0.9107142857142857,0.6938775510204082,0.8095238095238095,0.772727267791839
